[0.000000] (-) TimerEvent: {}
[0.000124] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000152] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000175] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000197] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000220] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000242] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000264] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000287] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000309] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000331] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000358] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000381] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.000404] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.000425] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.000448] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.000470] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.000492] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.000514] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.000536] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.000545] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.000552] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.000559] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.000580] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.000603] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.000625] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.000647] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.000670] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.000692] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.000715] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.000737] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.000760] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.000783] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.000806] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.000828] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.000852] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.000874] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.000897] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000919] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000942] (-) JobUnselected: {'identifier': 'navigation2'}
[0.000964] (-) JobUnselected: {'identifier': 'rm_robot_description'}
[0.001270] (-) EventReactorShutdown: {}
